MsgID.GLOBAL_POSITION,0.0000000,-122.3957518,37.7932819,0.5290000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-2.9100000
MsgID.LOCAL_POSITION,48.6200000,0.0446836,0.0133014,-0.5293906
MsgID.LOCAL_VELOCITY,48.6200000,-0.0068956,0.0030048,-2.9111478
MsgID.GLOBAL_POSITION,0.0000000,-122.3957533,37.7932806,1.4580000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0100000,-4.2800000
MsgID.LOCAL_POSITION,48.8700000,-0.1041791,-0.1201880,-1.4585236
MsgID.LOCAL_VELOCITY,48.8700000,-0.0160837,0.0175160,-4.2844501
MsgID.GLOBAL_POSITION,0.0000000,-122.3957531,37.7932806,2.5790000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0300000,-4.6400000
MsgID.LOCAL_POSITION,49.1200000,-0.1042114,-0.1022445,-2.5792103
MsgID.LOCAL_VELOCITY,49.1200000,-0.0065969,0.0338573,-4.6431684
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957510,37.7932815,3.4450000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0300000,-2.1600000
MsgID.LOCAL_POSITION,49.3700000,0.0037184,0.0762381,-3.4451430
MsgID.LOCAL_VELOCITY,49.3700000,-0.0052501,0.0324687,-2.1616917
MsgID.GLOBAL_POSITION,0.0000000,-122.3957499,37.7932816,3.6670000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0300000,0.3400000
MsgID.LOCAL_POSITION,49.6200000,0.0051477,0.1804530,-3.6677005
MsgID.LOCAL_VELOCITY,49.6200000,-0.0049456,0.0304610,0.3445491
MsgID.GLOBAL_POSITION,0.0000000,-122.3957511,37.7932813,3.3830000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0200000,1.6800000
MsgID.LOCAL_POSITION,49.8710000,-0.0254824,0.0729474,-3.3832779
MsgID.LOCAL_VELOCITY,49.8710000,-0.0073335,0.0220168,1.6826277
MsgID.GLOBAL_POSITION,0.0000000,-122.3957510,37.7932818,2.9500000
MsgID.LOCAL_VELOCITY,0.0000000,0.0400000,0.0100000,1.3300000
MsgID.LOCAL_POSITION,50.1200000,0.0352928,0.0766520,-2.9505763
MsgID.LOCAL_VELOCITY,50.1200000,0.0446754,0.0140159,1.3364071
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957504,37.7932845,2.8780000
MsgID.LOCAL_VELOCITY,0.0000000,1.6200000,-0.0200000,-0.4500000
MsgID.LOCAL_POSITION,50.3710000,0.3300820,0.1316828,-2.8789299
MsgID.LOCAL_VELOCITY,50.3710000,1.6227459,-0.0210045,-0.4511552
MsgID.GLOBAL_POSITION,0.0000000,-122.3957503,37.7932887,3.0290000
MsgID.LOCAL_VELOCITY,0.0000000,2.8700000,-0.0500000,-0.2400000
MsgID.LOCAL_POSITION,50.6210000,0.7998496,0.1430552,-3.0295696
MsgID.LOCAL_VELOCITY,50.6210000,2.8707633,-0.0576372,-0.2433141
MsgID.GLOBAL_POSITION,0.0000000,-122.3957513,37.7932960,3.0320000
MsgID.LOCAL_VELOCITY,0.0000000,3.6800000,-0.0900000,0.3300000
MsgID.LOCAL_POSITION,50.8720000,1.6070468,0.0497161,-3.0321460
MsgID.LOCAL_VELOCITY,50.8720000,3.6891911,-0.0908266,0.3310078
MsgID.GLOBAL_POSITION,0.0000000,-122.3957516,37.7933066,2.9890000
MsgID.LOCAL_VELOCITY,0.0000000,4.6900000,-0.0900000,0.1900000
MsgID.LOCAL_POSITION,51.1210000,2.7916687,0.0237529,-2.9891191
MsgID.LOCAL_VELOCITY,51.1210000,4.6981645,-0.0911475,0.1953883
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957529,37.7933163,2.9850000
MsgID.LOCAL_VELOCITY,0.0000000,4.4600000,-0.0600000,0.0200000
MsgID.LOCAL_POSITION,51.3710000,3.8675909,-0.0844252,-2.9857152
MsgID.LOCAL_VELOCITY,51.3710000,4.4684291,-0.0607102,0.0289426
MsgID.GLOBAL_POSITION,0.0000000,-122.3957528,37.7933242,2.9900000
MsgID.LOCAL_VELOCITY,0.0000000,3.0500000,0.0400000,0.0600000
MsgID.LOCAL_POSITION,51.6220000,4.7413516,-0.0757846,-2.9908128
MsgID.LOCAL_VELOCITY,51.6220000,3.0561237,0.0468725,0.0602761
MsgID.GLOBAL_POSITION,0.0000000,-122.3957502,37.7933295,2.9850000
MsgID.LOCAL_VELOCITY,0.0000000,1.4900000,0.0500000,0.0200000
MsgID.LOCAL_POSITION,51.8710000,5.3372941,0.1485087,-2.9850347
MsgID.LOCAL_VELOCITY,51.8710000,1.4913291,0.0587581,0.0203280
MsgID.GLOBAL_POSITION,0.0000000,-122.3957508,37.7933317,2.9790000
MsgID.LOCAL_VELOCITY,0.0000000,0.5700000,0.2500000,-0.0200000
MsgID.LOCAL_POSITION,52.1210000,5.5755444,0.0999454,-2.9798388
MsgID.LOCAL_VELOCITY,52.1210000,0.5704518,0.2527626,-0.0282613
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957504,37.7933327,2.9790000
